epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8047,1.59924,9.1181,2.74863,0.57837,0.22014,0.29111,0.23323,1.50569,11.8657,2.86742,0.000366872,0.000366872,0.000366872
2,54.6907,1.88375,7.40214,2.86241,0.39172,0.5202,0.43555,0.34247,1.6586,8.36399,3.1263,0.000729907,0.000729907,0.000729907
3,81.1494,1.96539,6.37291,2.90221,0.39651,0.45269,0.42221,0.28879,1.91096,7.07956,3.3297,0.00108561,0.00108561,0.00108561
4,106.813,1.99413,5.80498,2.89236,0.46237,0.53225,0.48039,0.36394,1.94156,5.16786,3.43476,0.001078,0.001078,0.001078
5,132.676,1.97104,5.09738,2.86821,0.52425,0.53227,0.54016,0.39122,1.76943,4.72135,3.21425,0.001067,0.001067,0.001067
6,158.746,1.97012,4.66822,2.85684,0.54531,0.54409,0.53096,0.34042,2.16525,4.7169,3.56463,0.00105601,0.00105601,0.00105601
7,187.077,1.92749,4.28059,2.8301,0.60829,0.65053,0.6511,0.46306,1.87527,3.66125,3.19112,0.00104501,0.00104501,0.00104501
8,216.131,1.85114,3.85419,2.75422,0.64459,0.57764,0.65336,0.49751,1.58567,3.07737,2.92705,0.00103401,0.00103401,0.00103401
9,245.328,1.85413,3.60939,2.74271,0.70401,0.55766,0.64316,0.48718,1.6727,2.90256,3.00728,0.00102301,0.00102301,0.00102301
10,284.554,1.8953,3.50084,2.81187,0.63616,0.66945,0.69819,0.5251,1.58373,2.64462,2.89533,0.00101201,0.00101201,0.00101201
11,326.02,1.87384,3.40666,2.79447,0.73215,0.61713,0.73502,0.57339,1.50652,2.38649,2.85202,0.00100101,0.00100101,0.00100101
12,360.61,1.80586,3.27763,2.73163,0.77875,0.63131,0.74773,0.58971,1.58204,2.22414,2.87375,0.000990012,0.000990012,0.000990012
13,396.674,1.7923,3.06837,2.70756,0.70897,0.72509,0.74932,0.60203,1.46865,2.19382,2.81535,0.000979013,0.000979013,0.000979013
14,434.752,1.70493,2.83032,2.63889,0.67586,0.70257,0.74487,0.59565,1.49186,2.16079,2.78904,0.000968014,0.000968014,0.000968014
15,469.018,1.69024,2.80909,2.65119,0.7558,0.64978,0.76533,0.61921,1.4132,1.94825,2.70215,0.000957015,0.000957015,0.000957015
16,533.067,1.67837,2.79385,2.6118,0.75943,0.74805,0.80128,0.64349,1.42368,1.8897,2.77624,0.000946016,0.000946016,0.000946016
17,598.357,1.67901,2.62488,2.62858,0.79155,0.64917,0.77388,0.6275,1.48124,1.98194,2.76923,0.000935018,0.000935018,0.000935018
18,653.344,1.67958,2.70367,2.61914,0.74481,0.73353,0.79958,0.66102,1.36933,1.82184,2.70266,0.000924019,0.000924019,0.000924019
19,706.332,1.65307,2.63886,2.61287,0.77787,0.72841,0.80422,0.64791,1.43776,1.84208,2.77297,0.00091302,0.00091302,0.00091302
20,758.409,1.63345,2.49789,2.58349,0.68995,0.70982,0.77323,0.63741,1.31874,1.9495,2.64092,0.000902021,0.000902021,0.000902021
21,812.054,1.61993,2.444,2.58357,0.788,0.71298,0.80727,0.69175,1.26673,1.76421,2.57652,0.000891022,0.000891022,0.000891022
22,862.95,1.62836,2.46511,2.57675,0.81997,0.62927,0.77476,0.66711,1.26578,1.8454,2.57001,0.000880023,0.000880023,0.000880023
23,912.814,1.60171,2.37328,2.58152,0.85072,0.76707,0.82989,0.71119,1.28633,1.69469,2.57753,0.000869024,0.000869024,0.000869024
24,955.906,1.58035,2.3807,2.56757,0.82671,0.74736,0.84746,0.72478,1.21103,1.65284,2.53773,0.000858025,0.000858025,0.000858025
25,995.53,1.61359,2.47786,2.58281,0.84607,0.7477,0.8504,0.72117,1.32184,1.63061,2.58874,0.000847026,0.000847026,0.000847026
26,1039.93,1.58989,2.31271,2.57771,0.82975,0.71967,0.82555,0.70233,1.23737,1.70004,2.55121,0.000836027,0.000836027,0.000836027
27,1103.35,1.5939,2.30243,2.55964,0.85049,0.76628,0.85055,0.69967,1.47768,1.71249,2.72871,0.000825029,0.000825029,0.000825029
28,1147.63,1.53874,2.20965,2.51736,0.86073,0.70179,0.83728,0.72367,1.18846,1.63725,2.47305,0.00081403,0.00081403,0.00081403
29,1198.69,1.51771,2.14853,2.50993,0.86722,0.7844,0.85183,0.72447,1.19981,1.61718,2.48395,0.000803031,0.000803031,0.000803031
30,1248.05,1.53606,2.26761,2.50616,0.81217,0.75747,0.84315,0.71924,1.24943,1.59531,2.53598,0.000792032,0.000792032,0.000792032
31,1355.67,1.54298,2.13425,2.51685,0.8903,0.72831,0.84319,0.71169,1.25083,1.60676,2.54868,0.000781033,0.000781033,0.000781033
32,1462.48,1.51171,2.16384,2.54723,0.85941,0.78303,0.85781,0.74008,1.17718,1.50619,2.46466,0.000770034,0.000770034,0.000770034
33,1522.9,1.46854,2.0605,2.48163,0.87926,0.75693,0.8677,0.75914,1.09626,1.43891,2.42391,0.000759035,0.000759035,0.000759035
34,1566.8,1.44524,2.01754,2.46021,0.87521,0.75143,0.8559,0.73504,1.21926,1.5163,2.50099,0.000748036,0.000748036,0.000748036
35,1607.72,1.51739,2.01173,2.4969,0.87923,0.7952,0.87573,0.74709,1.26531,1.46447,2.57546,0.000737037,0.000737037,0.000737037
36,1646.72,1.42544,1.95138,2.47096,0.81785,0.80561,0.87308,0.75846,1.16189,1.43416,2.47555,0.000726038,0.000726038,0.000726038
37,1684.66,1.46933,2.02851,2.48521,0.86717,0.8129,0.88656,0.77338,1.14434,1.36054,2.44677,0.00071504,0.00071504,0.00071504
38,1723.25,1.45069,1.98002,2.46725,0.86507,0.80789,0.87706,0.77582,1.10328,1.38558,2.40384,0.000704041,0.000704041,0.000704041
39,1762.3,1.4221,1.95629,2.43391,0.8717,0.8026,0.88289,0.7739,1.13577,1.38741,2.41854,0.000693042,0.000693042,0.000693042
40,1802.1,1.39348,1.98975,2.44717,0.90501,0.76059,0.86712,0.74701,1.1596,1.49144,2.47998,0.000682043,0.000682043,0.000682043
41,1844.07,1.43486,1.92504,2.48804,0.87439,0.80418,0.87442,0.77201,1.12616,1.38649,2.44091,0.000671044,0.000671044,0.000671044
42,1883.44,1.37136,1.83793,2.40733,0.81079,0.83938,0.87356,0.7696,1.11388,1.36754,2.40603,0.000660045,0.000660045,0.000660045
43,1923.27,1.38709,1.86901,2.40656,0.80652,0.83132,0.86434,0.74445,1.13269,1.43259,2.46862,0.000649046,0.000649046,0.000649046
44,1964.29,1.37796,1.83549,2.38482,0.88718,0.81168,0.88584,0.77712,1.09666,1.38416,2.4281,0.000638047,0.000638047,0.000638047
45,2004.5,1.41104,1.81811,2.4503,0.91396,0.8266,0.89313,0.79185,1.06095,1.31041,2.34627,0.000627048,0.000627048,0.000627048
46,2041.79,1.36256,1.81496,2.40094,0.89904,0.77175,0.8735,0.75984,1.11077,1.46656,2.35498,0.000616049,0.000616049,0.000616049
47,2080.6,1.37296,1.76847,2.38504,0.89723,0.79877,0.87615,0.76618,1.13261,1.40347,2.39352,0.000605051,0.000605051,0.000605051
48,2119.81,1.29627,1.7013,2.34953,0.93438,0.80577,0.88837,0.79627,1.04325,1.26797,2.32488,0.000594052,0.000594052,0.000594052
49,2152.95,1.34392,1.74213,2.41386,0.91028,0.79724,0.88109,0.78321,1.0569,1.34057,2.33109,0.000583053,0.000583053,0.000583053
50,2185.8,1.31761,1.75016,2.41576,0.88255,0.7782,0.87377,0.78663,1.02628,1.44328,2.34645,0.000572054,0.000572054,0.000572054
51,2219.44,1.31789,1.70254,2.39775,0.87527,0.81104,0.88488,0.7887,1.05208,1.34692,2.32613,0.000561055,0.000561055,0.000561055
52,2254,1.31029,1.70234,2.3427,0.92876,0.77108,0.89101,0.79194,1.02622,1.34351,2.33246,0.000550056,0.000550056,0.000550056
53,2287.23,1.30948,1.69169,2.38941,0.88428,0.81517,0.88615,0.79119,1.03345,1.27251,2.33896,0.000539057,0.000539057,0.000539057
54,2318.68,1.24512,1.64998,2.31736,0.88652,0.81975,0.88921,0.79979,1.01034,1.34819,2.33708,0.000528058,0.000528058,0.000528058
55,2349.28,1.30147,1.69474,2.36657,0.89335,0.80243,0.89214,0.78629,1.07624,1.30129,2.37609,0.000517059,0.000517059,0.000517059
56,2380.2,1.25064,1.66665,2.33646,0.85097,0.83895,0.8873,0.791,1.01967,1.34023,2.33076,0.00050606,0.00050606,0.00050606
57,2412.45,1.23815,1.58803,2.32605,0.8945,0.82367,0.88588,0.78553,1.04121,1.34933,2.34942,0.000495062,0.000495062,0.000495062
58,2443.58,1.22438,1.59801,2.31224,0.87263,0.84944,0.8895,0.79933,1.01226,1.28103,2.30849,0.000484063,0.000484063,0.000484063
59,2472.92,1.24593,1.52633,2.3151,0.90221,0.8295,0.89315,0.80738,0.96705,1.24001,2.28211,0.000473064,0.000473064,0.000473064
60,2501.09,1.2535,1.59249,2.36104,0.87837,0.84863,0.9004,0.81056,0.97077,1.20612,2.27292,0.000462065,0.000462065,0.000462065
61,2529.29,1.26039,1.55571,2.33935,0.91838,0.7962,0.89837,0.80673,0.93851,1.24146,2.27466,0.000451066,0.000451066,0.000451066
62,2557.44,1.21644,1.54264,2.30432,0.9532,0.81572,0.90292,0.80727,0.97084,1.21703,2.29963,0.000440067,0.000440067,0.000440067
63,2585.87,1.24503,1.65693,2.31564,0.90209,0.84106,0.89233,0.81239,0.9387,1.25338,2.25222,0.000429068,0.000429068,0.000429068
64,2613.8,1.21556,1.51813,2.32973,0.86488,0.85351,0.89896,0.81266,0.98063,1.26989,2.28797,0.000418069,0.000418069,0.000418069
65,2643.1,1.17521,1.4766,2.31131,0.91633,0.82656,0.89434,0.80861,1.00293,1.27113,2.28192,0.00040707,0.00040707,0.00040707
66,2671.31,1.223,1.51319,2.33319,0.92128,0.80879,0.9009,0.80035,0.99234,1.22672,2.28545,0.000396071,0.000396071,0.000396071
67,2700.3,1.15587,1.47925,2.28117,0.90868,0.82392,0.8976,0.81738,0.96617,1.23983,2.28233,0.000385073,0.000385073,0.000385073
68,2728.25,1.23572,1.53125,2.3301,0.9137,0.82221,0.89024,0.80065,0.97461,1.25949,2.27262,0.000374074,0.000374074,0.000374074
69,2756.27,1.143,1.44029,2.26798,0.91118,0.8587,0.90086,0.81918,0.95307,1.21882,2.25897,0.000363075,0.000363075,0.000363075
70,2784.1,1.19929,1.48019,2.33034,0.95438,0.81207,0.9025,0.8229,0.95833,1.21274,2.25215,0.000352076,0.000352076,0.000352076
71,2811.91,1.14728,1.37658,2.28326,0.89972,0.83119,0.89007,0.79026,0.99545,1.27188,2.29186,0.000341077,0.000341077,0.000341077
72,2839.49,1.18068,1.51007,2.26649,0.90703,0.83334,0.89967,0.82455,0.90142,1.17964,2.20156,0.000330078,0.000330078,0.000330078
73,2867.4,1.15099,1.388,2.27704,0.90486,0.83615,0.89832,0.82028,0.8931,1.21208,2.19865,0.000319079,0.000319079,0.000319079
74,2895.24,1.15224,1.40057,2.26837,0.92905,0.81399,0.90772,0.82394,0.94288,1.21308,2.24919,0.00030808,0.00030808,0.00030808
75,2922.93,1.15371,1.45035,2.26216,0.92841,0.81314,0.90197,0.81821,0.92947,1.21759,2.24105,0.000297081,0.000297081,0.000297081
76,2950.69,1.14124,1.37105,2.25635,0.91392,0.83998,0.90097,0.81857,0.90494,1.19155,2.2288,0.000286083,0.000286083,0.000286083
77,2978.32,1.14292,1.33665,2.26721,0.9327,0.83681,0.89796,0.81219,0.92758,1.20123,2.23371,0.000275084,0.000275084,0.000275084
78,3006.35,1.11695,1.30132,2.27134,0.93322,0.84438,0.90496,0.81309,0.9719,1.17996,2.26612,0.000264085,0.000264085,0.000264085
79,3034.3,1.10654,1.35166,2.23981,0.92081,0.83489,0.89762,0.81949,0.91173,1.21735,2.22467,0.000253086,0.000253086,0.000253086
80,3061.98,1.08333,1.32047,2.23313,0.92473,0.83217,0.89487,0.81205,0.93392,1.25848,2.22927,0.000242087,0.000242087,0.000242087
81,3089.63,1.12335,1.28314,2.26634,0.91458,0.84507,0.89559,0.8113,0.94092,1.25643,2.23161,0.000231088,0.000231088,0.000231088
82,3117.59,1.09335,1.2889,2.23312,0.9547,0.82597,0.90543,0.81038,0.94746,1.20452,2.24778,0.000220089,0.000220089,0.000220089
83,3145.45,1.09158,1.3149,2.2475,0.95336,0.82565,0.9052,0.82041,0.88561,1.19461,2.21229,0.00020909,0.00020909,0.00020909
84,3173.26,1.06205,1.27788,2.20385,0.91732,0.8439,0.91026,0.82157,0.93094,1.18443,2.23144,0.000198091,0.000198091,0.000198091
85,3200.89,1.08466,1.28153,2.22993,0.88865,0.87122,0.91204,0.82481,0.91303,1.18565,2.22066,0.000187092,0.000187092,0.000187092
86,3228.84,1.08952,1.25933,2.24024,0.92884,0.83872,0.89847,0.82054,0.88257,1.21325,2.21797,0.000176094,0.000176094,0.000176094
87,3256.74,1.05122,1.20217,2.20706,0.90484,0.85217,0.90213,0.821,0.87523,1.19628,2.21106,0.000165095,0.000165095,0.000165095
88,3284.4,1.06612,1.25618,2.23499,0.9417,0.84297,0.91018,0.83161,0.90803,1.19846,2.22364,0.000154096,0.000154096,0.000154096
89,3312.06,1.04289,1.23538,2.20743,0.9362,0.83924,0.90633,0.82984,0.88072,1.18861,2.21177,0.000143097,0.000143097,0.000143097
90,3340.04,1.03181,1.22738,2.19932,0.94019,0.82512,0.90629,0.82163,0.91846,1.22349,2.23047,0.000132098,0.000132098,0.000132098
91,3402.54,0.62482,0.76138,1.98135,0.92187,0.83125,0.90138,0.82221,0.88453,1.2649,2.2207,0.000121099,0.000121099,0.000121099
92,3429.73,0.62405,0.74004,1.98903,0.92899,0.83677,0.90267,0.81897,0.89069,1.28467,2.22813,0.0001101,0.0001101,0.0001101
93,3457.36,0.58919,0.67181,1.97195,0.93209,0.83763,0.90315,0.82446,0.88757,1.26784,2.21318,9.91012e-05,9.91012e-05,9.91012e-05
94,3485.09,0.60002,0.64429,1.95609,0.9142,0.84456,0.89627,0.82446,0.86292,1.2746,2.18025,8.81023e-05,8.81023e-05,8.81023e-05
95,3512.74,0.57358,0.61149,1.93581,0.94807,0.82788,0.89747,0.82734,0.84997,1.2592,2.17464,7.71034e-05,7.71034e-05,7.71034e-05
96,3540.48,0.57711,0.61508,1.94034,0.94436,0.82465,0.89434,0.81876,0.85074,1.29861,2.14956,6.61045e-05,6.61045e-05,6.61045e-05
97,3567.93,0.57427,0.58961,1.94556,0.93138,0.85521,0.89825,0.82574,0.84749,1.26724,2.14441,5.51056e-05,5.51056e-05,5.51056e-05
98,3595.88,0.56834,0.58881,1.95054,0.91925,0.84186,0.89935,0.82481,0.84063,1.26516,2.12544,4.41067e-05,4.41067e-05,4.41067e-05
99,3623.23,0.56867,0.5992,1.93582,0.94583,0.81606,0.89502,0.82104,0.83452,1.29176,2.12463,3.31078e-05,3.31078e-05,3.31078e-05
100,3650.36,0.55778,0.58143,1.94164,0.92245,0.829,0.901,0.82575,0.83764,1.28024,2.13044,2.21089e-05,2.21089e-05,2.21089e-05
